epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1884.01,0.44764,0.57544,1.07201,0.58726,0.60121,0.61112,0.45741,1.35564,1.60197,1.80854,7.43036e-05,7.43036e-05,7.43036e-05
140,1896.9,0.46174,0.57964,1.08895,0.68104,0.58208,0.62548,0.46834,1.34588,1.58309,1.81278,6.88058e-05,6.88058e-05,6.88058e-05
141,1933.68,0.62588,0.76779,1.2447,0.65809,0.5723,0.60453,0.45818,1.28686,1.62932,1.75226,6.3308e-05,6.3308e-05,6.3308e-05
142,1945.68,0.59269,0.52376,1.22477,0.64705,0.57689,0.60979,0.45044,1.30435,1.58,1.77203,5.78102e-05,5.78102e-05,5.78102e-05
143,1957.76,0.49399,0.5939,1.10553,0.62858,0.57555,0.61515,0.45018,1.33027,1.60557,1.78407,5.23124e-05,5.23124e-05,5.23124e-05
144,1970.16,0.5626,0.51244,1.17626,0.64504,0.5793,0.61045,0.44039,1.32919,1.61527,1.79752,4.68146e-05,4.68146e-05,4.68146e-05
145,1982.97,0.51038,0.51327,1.12738,0.6552,0.56782,0.61027,0.44336,1.33161,1.60775,1.80659,4.13168e-05,4.13168e-05,4.13168e-05
146,1995.35,0.50614,0.43707,1.13469,0.64624,0.56828,0.61058,0.44429,1.32075,1.58711,1.78567,3.5819e-05,3.5819e-05,3.5819e-05
147,2008.16,0.54132,0.50499,1.17818,0.69336,0.58289,0.61769,0.44503,1.31965,1.57084,1.77712,3.03212e-05,3.03212e-05,3.03212e-05
148,2021.25,0.50091,0.43356,1.13418,0.67682,0.58222,0.61667,0.44599,1.33005,1.57733,1.79557,2.48234e-05,2.48234e-05,2.48234e-05
149,2034.3,0.50691,0.47895,1.12119,0.67298,0.58083,0.61668,0.44861,1.32325,1.58174,1.79324,1.93256e-05,1.93256e-05,1.93256e-05
150,2047.37,0.48414,0.44503,1.1323,0.72081,0.54652,0.62049,0.45379,1.31918,1.56436,1.78871,1.38278e-05,1.38278e-05,1.38278e-05
